vote,spend,state,districts,dem_inc,rep_inc,pvi
148241,722339.8500000001,Maryland,3,1.0,0.0,13
55116,3444445.2199999993,New Mexico,3,0.0,0.0,8
14144,517379.7100000009,Pennsylvania,7,1.0,0.0,1
-80278,-1951245.69,Ohio,14,0.0,1.0,-5
-12533,-749342.9799999995,Oklahoma,5,1.0,0.0,-10
-155906,-2323387.7,North Carolina,10,0.0,1.0,-12
186006,2047139.18,California,5,1.0,0.0,21
84763,677279.67,California,40,1.0,0.0,33
206089,1552001.54,Virginia,8,1.0,0.0,21
-141832,-1236945.2899999998,South Carolina,3,0.0,1.0,-19
-71967,-673630.9999999999,Texas,14,0.0,1.0,-12
70102,895812.39,Texas,16,1.0,0.0,17
-151801,-1749640.9100000001,Illinois,18,0.0,1.0,-15
-74326,-23465420.95,California,23,0.0,1.0,-14
146182,1079007.15,California,6,1.0,0.0,21
-67262,-1354777.1600000001,Illinois,12,0.0,1.0,-5
-1522,2076507.7700000005,California,21,1.0,0.0,5
45894,1056590.71,California,9,1.0,0.0,8
126938,2357187.6500000004,California,17,1.0,0.0,25
-84636,-328088.98,Georgia,11,0.0,1.0,-17
197569,1124075.48,Georgia,13,1.0,0.0,20
91517,495458.04000000004,Virginia,4,1.0,0.0,10
-18139,4810152.35,Arizona,6,0.0,1.0,-9
70276,823018.21,Indiana,7,1.0,0.0,11
-23880,-1061545.0699999994,Michigan,3,0.0,0.0,-6
-111894,-101320.75,Tennessee,4,0.0,1.0,-20
249211,3635464.7800000003,Georgia,5,1.0,0.0,34
5311,3639574.3000000003,New Jersey,7,1.0,0.0,-3
52616,1263261.72,New Mexico,1,1.0,0.0,7
-111877,-622580.78,Virginia,6,0.0,1.0,-13
-112789,-1187119.3099999998,Alabama,3,0.0,1.0,-16
-92608,70425.55000000028,Iowa,4,0.0,1.0,-11
143281,4189006.1300000004,California,15,1.0,0.0,20
-123836,-2008119.56,Kansas,1,0.0,0.0,-24
-24993,-471351.43999999994,North Carolina,8,0.0,1.0,-8
-116227,-987844.1600000001,Indiana,3,0.0,1.0,-18
50867,1107822.9,California,7,1.0,0.0,3
-52407,-1369498.9000000001,California,42,0.0,1.0,-9
181775,353738.49,Ohio,11,1.0,0.0,32
-93398,-1062835.12,North Carolina,7,0.0,1.0,-9
10346,2147222.9,Wisconsin,3,1.0,0.0,0
101953,579074.49,Florida,5,1.0,0.0,12
-76829,2518990.95,Montana,0,0.0,0.0,-11
-94876,-3999117.31,Alabama,1,0.0,0.0,-15
24192,-539321.8799999994,California,49,1.0,1.0,-1
112057,555066.0599999999,Hawaii,1,1.0,0.0,17
-114722,-727958.5700000001,Pennsylvania,9,0.0,1.0,-14
-87266,-1159241.78,Kansas,4,0.0,1.0,-15
-52560,783132.9799999995,California,4,0.0,1.0,-10
180217,971693.07,Wisconsin,2,1.0,0.0,18
-6,2280748.5599999996,Iowa,2,0.0,0.0,1
31236,1554385.67,California,10,1.0,0.0,0
-68634,-461311.02,Indiana,2,0.0,1.0,-11
-118615,-2527707.82,Wisconsin,8,0.0,1.0,-7
-104398,-1246730.26,Florida,8,0.0,1.0,-11
69211,590454.4500000001,Florida,22,1.0,0.0,6
-205316,-1304241.4100000001,Alabama,4,0.0,1.0,-30
-156388,-890702.97,Illinois,15,0.0,0.0,-21
9969,-405205.2799999998,Pennsylvania,17,1.0,0.0,-3
133760,1371965.76,California,33,1.0,0.0,16
76344,957462.2899999999,Florida,14,1.0,0.0,7
-109798,-1548702.1,Pennsylvania,14,0.0,1.0,-14
-333,-4494209.949999998,California,25,0.0,1.0,0
82657,764755.61,California,47,1.0,0.0,13
-57929,-1308905.2599999998,Pennsylvania,1,0.0,1.0,-1
99933,2009005.3399999999,North Carolina,6,0.0,0.0,-9
81914,840475.97,Arizona,9,1.0,0.0,4
118481,743525.8600000001,Maryland,2,1.0,0.0,11
-8376,83116.58000000007,California,48,1.0,0.0,-4
-4109,-1565662.1000000006,California,39,1.0,0.0,0
-86130,-1094410.34,South Carolina,7,0.0,1.0,-9
154920,1530577.14,Illinois,9,1.0,0.0,18
-5415,386021.41000000015,South Carolina,1,1.0,0.0,-10
116191,1273971.7100000002,Pennsylvania,5,1.0,0.0,13
152343,6569191.58,California,28,1.0,0.0,23
209513,503217.67000000004,Georgia,4,1.0,0.0,24
-55749,-3801325.05,Florida,3,0.0,0.0,-9
-66126,-765002.36,Pennsylvania,16,0.0,1.0,-8
94464,630882.2,California,35,1.0,0.0,19
-53318,-196156.56000000006,Florida,16,0.0,1.0,-7
-103264,-1834778.93,Ohio,16,0.0,1.0,-8
-42077,392417.5999999996,Florida,15,0.0,1.0,-6
-107024,-1050850.46,Maryland,1,0.0,1.0,-14
-11816,4077479.29,Florida,26,1.0,0.0,6
64580,1785066.79,California,31,1.0,0.0,8
135143,898224.4299999999,Oregon,1,1.0,0.0,9
126027,638582.82,Virginia,3,1.0,0.0,16
171123,1015331.6000000001,North Carolina,4,1.0,0.0,17
29122,-855041.09,North Carolina,1,1.0,0.0,17
-74047,-417901.67999999993,South Carolina,5,0.0,1.0,-9
73649,336138.03,California,41,1.0,0.0,12
-50117,1295992.62,California,1,0.0,1.0,-11
39146,5680355.290000001,Illinois,3,1.0,0.0,6
91795,1748803.26,California,52,1.0,0.0,6
48914,497683.7899999999,Pennsylvania,6,1.0,0.0,2
96104,1075279.9,New Jersey,1,1.0,0.0,13
63411,1694896.9100000001,California,36,1.0,0.0,2
-35683,480921.0299999998,Arkansas,2,0.0,1.0,-7
-26637,-14097360.629999999,California,22,0.0,1.0,-8
165238,1654295.7299999997,California,20,1.0,0.0,23
78649,645384.2999999999,Arizona,3,1.0,0.0,13
147921,1203710.8099999998,Pennsylvania,18,1.0,0.0,13
29150,2103939.0999999996,New Jersey,11,1.0,0.0,-3
88755,720189.15,California,51,1.0,0.0,22
81750,1717316.97,Illinois,11,1.0,0.0,9
