# timestamp,user_a,user_b,rssi
1682400,608,243,-45
1682400,648,243,-46
1682700,175,119,-59
1682700,274,61,-58
1682700,294,194,-58
1682700,308,109,-45
1682700,427,325,-57
1682700,452,47,-58
1682700,518,287,-55
1682700,557,364,-51
1682700,600,146,-58
1682700,611,239,-34
1682700,640,394,-58
1682700,648,243,-38
1683000,180,58,-55
1683000,289,130,-48
1683000,308,109,-47
1683000,325,34,-54
1683000,357,239,-41
1683000,467,376,-46
1683000,504,341,-52
1683000,520,427,-40
1683000,557,280,-40
1683000,557,364,-53
1683000,611,239,-40
1683000,611,357,-51
1683000,633,204,-57
1683000,648,243,-59
1683000,666,354,-58
1683000,688,158,-58
1683300,267,243,-44
1683300,274,61,-54
1683300,289,130,-55
1683300,294,194,-56
1683300,308,109,-45
1683300,383,330,-55
1683300,427,325,-59
1683300,494,304,-57
1683300,505,265,-38
1683300,518,287,-40
1683300,557,364,-50
1683300,600,146,-58
1683300,611,357,-50
1683300,633,204,-57
1683300,640,172,-55
1683300,648,243,-54
1683300,665,254,-48
1683600,274,61,-58
1683600,289,130,-59
1683600,294,194,-59
1683600,308,109,-39
1683600,325,34,-57
1683600,357,239,-46
1683600,364,102,-53
1683600,383,330,-59
1683600,427,325,-53
1683600,468,116,-56
1683600,518,287,-53
1683600,557,364,-51
1683600,600,146,-58
1683600,611,239,-59
1683600,633,204,-56
1683600,640,172,-53
1683600,643,386,-53
1683600,648,243,-59
1683600,676,643,-56
1683900,243,175,-33
1683900,269,264,-44
1683900,274,61,-51
1683900,308,109,-39
1683900,325,34,-52
1683900,351,336,-58
1683900,357,239,-59
1683900,427,325,-58
1683900,552,177,-57
1683900,557,364,-53
1683900,584,339,-58
1683900,611,239,-55
1683900,611,357,-57
1683900,633,204,-59
1683900,640,172,-55
1683900,648,243,-52
1683900,669,647,-50
1684200,308,109,-42
1684200,325,292,-56
1684200,351,336,-58
1684200,357,239,-53
1684200,382,218,-59
1684200,383,3,-58
1684200,552,177,-50
1684200,557,364,-56
1684200,633,204,-47
1684200,640,293,-54
1684200,648,243,-51
1684500,308,109,-38
1684500,338,299,-57
1684500,351,336,-58
1684500,423,167,-56
1684500,452,450,-59
1684500,512,355,-50
1684500,518,437,-56
1684500,557,364,-48
1684500,584,339,-54
1684500,585,397,-52
1684500,640,172,-57
1684500,644,512,-46
1684500,648,243,-52
1684500,663,85,-59
1684500,687,114,-54
1684800,193,179,-59
1684800,254,29,-58
1684800,308,109,-44
1684800,351,336,-58
1684800,357,239,-56
1684800,382,218,-57
1684800,386,92,-58
1684800,399,31,-59
1684800,472,262,-58
1684800,494,57,-53
1684800,507,58,-58
1684800,518,437,-59
1684800,584,339,-58
1684800,592,8,-54
1684800,614,535,-56
1684800,615,41,-57
1685100,325,34,-50
1685100,357,239,-50
1685100,494,57,-52
1685100,589,588,-59
1685100,614,535,-55
1685100,648,243,-54
1685400,325,34,-49
1685400,374,352,-55
1685400,382,218,-57
1685400,407,378,-57
1685400,494,57,-57
1685400,584,339,-56
1685400,666,354,-57
1685400,668,22,-46
1685400,676,92,-59
1685400,688,22,-54
1685400,688,158,-50
1685700,105,34,-51
1685700,254,29,-55
1685700,325,34,-45
1685700,357,239,-51
1685700,372,190,-58
1685700,382,218,-54
1685700,407,378,-57
1685700,494,57,-58
1685700,542,394,-57
1685700,584,339,-51
1685700,585,397,-59
1685700,593,181,-39
1685700,614,535,-59
1685700,615,22,-50
1685700,640,172,-53
1685700,666,354,-49
1685700,668,22,-59
1685700,688,158,-51
1686000,325,34,-58
1686000,351,336,-53
1686000,357,239,-52
1686000,407,378,-58
1686000,455,282,-58
1686000,494,164,-52
1686000,537,54,-35
1686000,580,441,-59
1686000,584,339,-53
1686000,585,397,-58
1686000,587,22,-56
1686000,648,243,-53
1686000,668,22,-52
1686000,688,158,-51
1686300,193,179,-58
1686300,239,176,-56
1686300,325,34,-54
1686300,357,239,-52
1686300,364,102,-57
1686300,399,31,-47
1686300,427,325,-58
1686300,455,282,-54
1686300,472,262,-57
1686300,494,164,-57
1686300,542,394,-53
1686300,559,64,-55
1686300,580,441,-59
1686300,585,397,-55
1686300,614,535,-58
1686300,640,172,-58
1686300,668,22,-52
1686600,164,163,-51
1686600,193,179,-57
1686600,239,176,-54
1686600,264,34,-56
1686600,292,34,-59
1686600,325,292,-59
1686600,351,336,-55
1686600,357,239,-52
1686600,364,102,-57
1686600,382,218,-56
1686600,423,167,-54
1686600,518,287,-54
1686600,559,64,-54
1686600,580,441,-58
1686600,593,158,-52
1686600,600,146,-58
1686600,612,490,-58
1686600,665,114,-52
1686600,666,354,-54
1686600,668,22,-51
1686600,699,527,-56
1686900,357,239,-55
1686900,373,249,-58
1686900,382,218,-54
1686900,399,31,-56
1686900,455,282,-56
1686900,472,262,-58
1686900,515,10,-52
1686900,559,64,-27
1686900,585,397,-57
1686900,600,146,-59
1686900,666,354,-58
1686900,668,22,-55
1686900,688,158,-51
1686900,699,527,-56
1687200,239,176,-54
1687200,264,34,-59
1687200,278,31,-57
1687200,292,264,-55
1687200,357,239,-53
1687200,382,218,-53
1687200,399,31,-57
1687200,468,116,-57
1687200,472,262,-59
1687200,520,435,-58
1687200,521,268,-55
1687200,559,64,-52
1687200,585,397,-45
1687200,648,243,-58
1687200,699,527,-56
1687500,357,239,-56
1687500,382,218,-54
1687500,521,268,-59
1687500,559,64,-51
1687500,580,441,-57
1687500,580,461,-56
1687500,585,397,-52
1687500,666,354,-38
1687800,193,179,-53
1687800,239,176,-58
1687800,357,239,-51
1687800,382,218,-55
1687800,557,8,-56
1687800,559,64,-50
1687800,585,397,-47
1687800,648,243,-58
1687800,666,354,-41
1687800,668,22,-57
1688100,193,179,-55
1688100,239,176,-57
1688100,264,34,-59
1688100,382,218,-58
1688100,494,163,-42
1688100,514,483,-57
1688100,521,268,-52
1688100,559,64,-58
1688100,585,397,-46
1688100,648,243,-55
1688100,648,292,-55
1688100,666,354,-42
1688400,101,25,-59
1688400,141,97,-57
1688400,193,179,-58
1688400,222,120,-56
1688400,264,243,-47
1688400,494,163,-38
1688400,521,268,-35
1688400,578,141,-47
1688400,585,397,-48
1688400,648,243,-56
1688400,648,292,-54
1688400,699,527,-54
1688700,141,97,-58
1688700,193,179,-59
1688700,222,120,-54
1688700,325,243,-59
1688700,325,292,-54
1688700,357,239,-59
1688700,382,218,-56
1688700,386,92,-59
1688700,455,282,-56
1688700,494,163,-40
1688700,521,268,-25
1688700,578,141,-50
1688700,585,397,-50
1688700,612,127,-58
1688700,620,210,-57
1688700,648,243,-57
1688700,648,292,-59
1689000,141,97,-55
1689000,193,179,-58
1689000,263,221,-51
1689000,301,300,-57
1689000,382,218,-54
1689000,494,163,-38
1689000,521,268,-34
1689000,558,16,-58
1689000,585,397,-56
1689000,687,265,-56
1689000,702,31,-52
1689300,133,64,-55
1689300,141,97,-59
1689300,193,179,-57
1689300,254,29,-56
1689300,263,221,-51
1689300,299,64,-54
1689300,382,218,-51
1689300,494,164,-58
1689300,521,268,-33
1689300,578,141,-59
1689300,648,243,-57
1689600,133,64,-56
1689600,193,179,-57
1689600,222,120,-56
1689600,263,221,-50
1689600,274,32,-58
1689600,294,194,-55
1689600,299,64,-56
1689600,372,193,-56
1689600,382,218,-59
1689600,423,149,-54
1689600,433,64,-59
1689600,483,167,-59
1689600,521,268,-34
1689600,558,16,-55
1689600,559,133,-59
1689600,559,299,-59
1689600,576,133,-56
1689600,672,416,-59
1689600,699,527,-38
1689600,702,216,-39
1689900,193,179,-58
1689900,222,120,-56
1689900,263,221,-50
1689900,264,34,-57
1689900,294,194,-48
1689900,299,64,-55
1689900,301,300,-56
1689900,372,193,-59
1689900,412,267,-59
1689900,455,282,-55
1689900,521,268,-35
1689900,648,243,-54
1689900,677,51,-58
1689900,699,527,-37
1689900,702,216,-58
1690200,133,64,-58
1690200,222,120,-56
1690200,263,51,-53
1690200,263,221,-51
1690200,494,163,-52
1690200,521,268,-33
1690200,559,64,-57
1690200,559,133,-57
1690200,559,299,-56
1690200,576,64,-59
1690200,585,397,-59
1690200,598,472,-55
1690200,657,262,-58
1690200,677,51,-56
1690200,699,527,-37
1690200,702,555,-37
1690500,130,109,-58
1690500,137,136,-48
1690500,228,149,-58
1690500,263,221,-51
1690500,264,34,-59
1690500,294,194,-57
1690500,299,64,-56
1690500,441,81,-56
1690500,455,282,-59
1690500,494,163,-51
1690500,513,85,-45
1690500,520,34,-55
1690500,521,268,-34
1690500,559,64,-56
1690500,559,133,-56
1690500,559,299,-51
1690500,578,141,-59
1690500,598,472,-57
1690500,611,146,-59
1690500,648,243,-57
1690500,677,51,-53
1690500,699,527,-38
1690500,702,216,-58
1690800,137,136,-47
1690800,222,120,-51
1690800,263,221,-55
1690800,264,34,-58
1690800,325,292,-49
1690800,455,282,-55
1690800,481,93,-38
1690800,494,163,-55
1690800,521,268,-59
1690800,559,133,-53
1690800,585,397,-57
1690800,648,243,-52
1690800,699,527,-39
1690800,702,216,-56
1691100,141,97,-57
1691100,222,120,-50
1691100,263,221,-48
1691100,274,32,-57
1691100,372,101,-54
1691100,399,73,-55
1691100,455,282,-47
1691100,481,93,-45
1691100,521,268,-38
1691100,576,64,-59
1691100,699,527,-37
1691400,263,221,-52
1691400,274,32,-52
1691400,494,163,-59
1691400,521,268,-34
1691400,559,64,-59
1691400,615,154,-59
1691400,648,243,-59
1691400,663,555,-59
1691400,686,666,-50
1691400,699,527,-37
1691700,222,120,-52
1691700,263,221,-47
1691700,274,32,-59
1691700,309,292,-51
1691700,382,218,-57
1691700,403,267,-56
1691700,494,163,-51
1691700,521,268,-37
1691700,585,397,-55
1691700,612,127,-54
1691700,687,265,-56
1691700,699,527,-37
1692000,222,120,-57
1692000,382,218,-46
1692000,494,163,-55
1692000,521,268,-36
1692000,597,351,-59
1692000,612,127,-55
1692000,699,527,-37
1692300,137,136,-55
1692300,155,15,-48
1692300,222,120,-53
1692300,249,242,-56
1692300,263,221,-38
1692300,274,61,-54
1692300,322,321,-59
1692300,372,193,-59
1692300,382,218,-46
1692300,449,47,-57
1692300,494,163,-58
1692300,521,268,-58
1692300,687,265,-55
1692300,699,527,-37
1692600,137,136,-52
1692600,263,221,-38
1692600,264,34,-55
1692600,301,300,-59
1692600,350,336,-52
1692600,483,149,-47
1692600,521,268,-39
1692600,528,61,-59
1692600,559,64,-56
1692600,575,559,-53
1692600,699,527,-37
1692900,21,20,-58
1692900,137,136,-54
1692900,141,97,-54
1692900,222,120,-57
1692900,263,221,-38
1692900,291,99,-59
1692900,299,133,-58
1692900,423,350,-34
1692900,441,81,-56
1692900,483,399,-58
1692900,494,163,-53
1692900,521,268,-39
1692900,699,527,-37
1692900,702,85,-56
1693200,137,136,-55
1693200,222,120,-54
1693200,263,221,-42
1693200,350,336,-57
1693200,441,81,-55
1693200,491,422,-53
1693200,494,163,-54
1693200,521,268,-38
1693200,648,243,-57
1693200,663,14,-59
1693200,663,513,-38
1693200,699,527,-37
1693200,702,508,-53
1693500,137,136,-57
1693500,222,120,-52
1693500,263,221,-45
1693500,276,242,-56
1693500,336,137,-38
1693500,427,325,-58
1693500,449,47,-55
1693500,494,163,-55
1693500,611,146,-49
1693500,614,535,-50
1693500,699,527,-37
1693800,137,136,-52
1693800,222,120,-56
1693800,263,221,-44
1693800,336,149,-50
1693800,403,267,-59
1693800,494,163,-56
1693800,614,535,-56
1693800,648,243,-59
1693800,699,527,-37
1694100,137,136,-59
1694100,263,221,-52
1694100,508,28,-33
1694100,597,351,-58
1694100,614,535,-54
1694100,687,265,-56
1694100,699,527,-36
1694400,141,97,-57
1694400,263,221,-48
1694400,382,218,-49
1694400,432,375,-58
1694400,449,47,-58
1694400,559,48,-58
1694400,559,64,-59
1694400,663,349,-32
1694700,141,97,-50
1694700,149,78,-59
1694700,263,221,-51
1694700,382,218,-53
1694700,491,422,-56
1694700,494,163,-59
1694700,699,527,-37
1695000,25,12,-55
1695000,141,97,-59
1695000,263,221,-51
1695000,382,218,-49
1695000,427,292,-59
1695000,427,325,-53
1695000,494,163,-57
1695000,508,28,-54
1695000,648,243,-59
1695000,687,265,-58
1695000,699,527,-36
1695300,25,12,-56
1695300,263,221,-53
1695300,351,336,-47
1695300,441,81,-52
1695300,559,48,-58
1695300,597,137,-55
1695300,699,527,-38
1695600,25,12,-54
1695600,263,221,-52
1695600,292,243,-47
1695600,351,336,-45
1695600,648,243,-59
1695600,699,527,-38
1695900,25,12,-55
1695900,263,221,-58
1695900,491,422,-57
1695900,494,163,-56
1695900,514,278,-59
1695900,609,605,-59
1695900,699,527,-37
1696200,263,221,-57
1696200,446,58,-52
1696200,446,377,-58
1696200,494,163,-52
1696200,597,181,-58
1696200,609,605,-55
1696200,699,527,-36
1696500,222,120,-53
1696500,263,221,-56
1696500,276,242,-58
1696500,325,34,-55
1696500,446,15,-57
1696500,494,163,-58
1696500,593,13,-52
1696500,612,127,-52
1696500,640,172,-56
1696500,672,446,-55
1696500,688,405,-55
1696500,699,527,-36
1696800,25,12,-58
1696800,263,221,-49
1696800,427,325,-46
1696800,494,163,-46
1696800,598,262,-58
1696800,612,127,-47
1696800,699,527,-36
1697100,25,12,-55
1697100,263,221,-50
1697100,427,325,-46
1697100,494,163,-51
1697100,612,127,-55
1697100,640,95,-58
1697100,688,405,-59
1697100,699,527,-37
1697400,263,221,-49
1697400,382,218,-46
1697400,427,325,-55
1697400,494,163,-45
1697400,699,527,-38
1697700,263,221,-49
1697700,325,243,-49
1697700,494,163,-48
1697700,514,399,-56
1697700,699,527,-36
1698000,263,221,-58
1698000,309,292,-59
1698000,494,163,-50
1698000,513,136,-37
1698000,514,399,-59
1698000,688,405,-57
1698000,699,527,-33
1698300,324,262,-54
1698300,427,243,-59
1698300,494,163,-55
1698300,508,28,-57
1698300,559,64,-54
1698300,665,217,-57
1698300,687,265,-56
1698300,688,405,-41
1698300,699,527,-32
1698600,263,221,-54
1698600,324,262,-50
1698600,427,243,-58
1698600,699,527,-28
1698900,263,221,-52
1698900,324,262,-51
1698900,427,243,-59
1698900,559,453,-56
1698900,657,262,-47
1698900,687,355,-59
1698900,699,527,-32
1699200,175,64,-48
1699200,301,300,-59
1699200,453,64,-58
1699200,491,0,-54
1699200,559,64,-56
1699200,559,453,-54
1699200,648,243,-57
1699500,446,377,-56
1699500,491,0,-56
1699500,611,146,-57
1699500,648,243,-54
1699500,687,265,-52
1699800,27,6,-56
1699800,158,119,-53
1699800,292,34,-40
1699800,427,309,-58
1699800,453,64,-59
1699800,559,64,-58
1699800,559,453,-57
1699800,648,243,-57
1699800,687,265,-54
1700100,158,119,-57
1700100,383,330,-57
1700100,453,64,-59
1700100,508,28,-57
1700100,559,64,-52
1700100,559,453,-55
1700100,640,172,-59
1700100,672,58,-58
1700400,491,0,-56
1700400,559,64,-46
1700400,559,453,-56
1700400,672,58,-52
1700400,687,540,-59
1700700,91,90,-59
1700700,508,28,-55
1700700,559,64,-59
1701000,91,90,-59
1701000,372,190,-58
1701000,382,218,-53
1701000,508,28,-54
1701000,542,123,-55
1701000,699,527,-57
1701300,91,90,-53
1701300,372,193,-56
1701300,453,204,-56
1701300,491,0,-57
1701300,508,28,-53
1701300,559,64,-58
1701300,559,453,-54
1701300,688,405,-58
1701600,383,330,-56
1701600,491,0,-55
1701600,540,265,-52
1701600,559,453,-58
1701600,688,405,-56
1701900,301,300,-58
1701900,383,330,-50
1701900,491,0,-55
1701900,559,453,-58
1701900,687,265,-58
1702200,423,167,-59
1702200,508,28,-50
1702200,559,453,-56
1702200,687,265,-52
1702200,688,405,-57
1702200,699,527,-59
1702500,350,155,-59
1702500,355,173,-57
1702500,383,330,-46
1702500,427,292,-55
1702500,559,453,-56
1702500,687,540,-59
1702800,158,119,-59
1702800,382,218,-55
1702800,427,292,-50
1702800,540,265,-53
1702800,687,265,-55
1703100,350,155,-55
1703100,427,292,-51
1703100,687,540,-59
1703400,427,292,-48
1703700,58,15,-54
1703700,301,300,-58
1703700,382,218,-59
1703700,672,15,-56
1703700,688,405,-52
1704000,383,330,-54
1704000,423,28,-50
1704300,382,218,-46
1704300,423,28,-50
1704300,449,47,-53
1704300,665,286,-57
1704600,175,119,-57
1704600,377,106,-59
1704600,449,47,-50
1704900,300,37,-57
1704900,559,453,-55
1705200,91,90,-59
1705200,449,47,-59
1705200,504,341,-59
1705200,508,28,-59
1705500,58,15,-57
1705500,91,90,-59
1705500,331,257,-47
1705500,421,14,-58
1705500,423,28,-59
1705500,542,394,-59
1705800,91,90,-57
1705800,331,257,-53
1705800,449,47,-57
1706100,91,90,-52
1706100,175,119,-54
1706100,301,300,-58
1706100,423,28,-47
1706100,449,47,-57
1706100,578,289,-54
1706400,91,90,-50
1706400,175,119,-55
1706400,301,300,-56
1706400,423,28,-57
1706400,465,373,-55
1706400,504,341,-57
1706400,508,28,-54
1706400,508,423,-58
1706400,542,394,-50
1706700,91,90,-52
1706700,175,119,-48
1706700,213,170,-53
1706700,301,300,-57
1706700,453,204,-56
1706700,504,341,-56
1706700,542,394,-56
1707000,91,90,-50
1707000,213,170,-57
1707000,301,300,-59
1707000,350,155,-55
1707000,504,341,-55
1707300,91,90,-52
1707300,301,300,-56
1707300,324,176,-55
1707300,396,97,-58
1707300,449,47,-54
1707300,470,4,-58
1707300,504,341,-57
1707300,559,204,-56
1707300,559,453,-57
1707300,578,289,-48
1707300,688,405,-57
1707600,91,90,-45
1707600,175,119,-51
1707600,324,176,-56
1707600,331,257,-57
1707600,382,218,-59
1707600,396,97,-58
1707600,504,341,-59
1707600,540,265,-57
1707600,559,204,-59
1707600,559,453,-55
1707600,700,207,-58
1707900,175,119,-59
1707900,213,170,-53
1707900,382,218,-58
1707900,396,97,-56
1707900,449,47,-50
1707900,514,399,-58
1707900,700,207,-57
1708200,91,90,-54
1708200,213,170,-54
1708200,449,47,-58
